City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng,Current Description
Ngorongoro,TZ,53.01,92,18,3.62,-3.2397,35.4875,few clouds
Douentza,ML,98.24,17,46,7.4,14.9951,-2.9517,few clouds
Puerto Baquerizo Moreno,EC,84.2,65,40,16.11,-0.9,-89.6,few clouds
Saint-Augustin,CA,37.22,96,100,12.73,51.226,-58.6502,few clouds
Mecca,SA,87.62,41,100,5.03,21.4267,39.8261,few clouds
Faya,SA,69.8,23,20,5.75,18.3851,42.4509,few clouds
Clevelandia,BR,75.52,32,53,4.81,-26.3958,-52.4708,few clouds
Harper,LR,81.54,78,100,10.92,4.375,-7.7169,few clouds
Roma,US,51.01,46,1,12.66,43.2128,-75.4557,few clouds
Aljezur,PT,57.04,63,7,12.01,37.3191,-8.8033,few clouds
Singaparna,ID,71.42,96,74,1.99,-7.3515,108.111,few clouds
Regeneracao,BR,88.05,52,93,2.98,-6.2378,-42.6883,few clouds
Coquimbo,CL,64.4,59,0,12.66,-29.9533,-71.3436,few clouds
Pangai,TO,78.8,78,40,17.27,-19.8,-174.35,few clouds
Bonthe,SL,82.65,73,73,11.36,7.5264,-12.505,few clouds
Hami,CN,63.82,34,100,30.69,42.8,93.45,few clouds
Saint George,US,89.01,12,1,3.44,37.1041,-113.5841,few clouds
Melilla,ES,62.6,48,0,13.8,35.2937,-2.9383,few clouds
Thunder Bay,CA,64.99,34,40,9.22,48.4001,-89.3168,few clouds
Paducah,US,75.99,35,1,12.66,37.0834,-88.6001,few clouds
Abu Samrah,SY,71.83,40,0,11.23,35.3029,37.1841,few clouds
Mount Gambier,AU,64.4,48,81,13.8,-37.8333,140.7667,few clouds
Miraflores,MX,77.0,31,75,7.96,19.2167,-98.8083,few clouds
Malanje,AO,65.03,95,98,7.16,-9.5402,16.341,few clouds
Aykhal,RU,30.61,98,100,5.3,66.0,111.5,few clouds
Bangassou,CF,71.22,91,35,2.57,4.7413,22.8184,few clouds
Panguma,SL,81.12,67,98,4.25,8.1833,-11.1333,few clouds
Robinson,US,75.99,69,75,8.05,31.4677,-97.1147,few clouds
Jumla,NP,52.12,78,64,2.75,29.2747,82.1838,few clouds
Deputatskiy,RU,19.56,97,100,2.93,69.3,139.9,few clouds
Izyum,UA,57.63,77,100,5.19,49.2088,37.2485,few clouds
Fort Myers Beach,US,87.8,51,1,10.36,26.452,-81.9481,few clouds
Sernur,RU,41.31,91,57,8.97,56.9333,49.1536,few clouds
Sun Valley,US,75.0,8,1,12.62,39.5963,-119.776,few clouds
Alice Springs,AU,53.6,58,6,5.75,-23.7,133.8833,few clouds
Cervo,ES,55.99,62,3,7.14,43.6702,-7.4101,few clouds
Poum,NC,75.52,75,100,8.79,-20.2333,164.0167,few clouds
Puno,PE,60.8,14,0,5.75,-15.8333,-70.0333,few clouds
Opuwo,NA,73.96,44,76,2.53,-18.0607,13.84,few clouds
Jamshedpur,IN,83.44,45,22,5.88,22.8,86.1833,few clouds
San Bartolome De Tirajana,ES,70.0,60,40,20.71,27.9248,-15.5733,few clouds
Ishigaki,JP,75.79,79,100,4.14,24.3448,124.1572,few clouds
Luena,AO,63.97,92,100,1.63,-11.7833,19.9167,few clouds
San Borja,BO,84.34,51,6,4.83,-14.8167,-66.85,few clouds
Victor Harbor,AU,59.0,84,2,14.32,-35.5667,138.6167,few clouds
Beloretsk,RU,50.0,37,97,13.42,53.9631,58.3981,few clouds
Nome,US,23.0,74,90,9.22,64.5011,-165.4064,few clouds
Shimoda,JP,63.0,85,14,1.01,34.6667,138.95,few clouds
Kawhia,NZ,42.01,97,0,3.6,-38.0651,174.8183,few clouds
Dedougou,BF,102.6,15,97,1.54,12.4667,-3.4667,few clouds
Muhos,FI,32.0,69,0,6.91,64.808,25.9931,few clouds
Beloha,MG,70.45,77,100,2.3,-25.1667,45.05,few clouds
Carutapera,BR,81.23,80,79,4.61,-1.195,-46.02,few clouds
Bay Roberts,CA,50.0,77,100,7.0,47.5999,-53.2648,few clouds
Fare,PF,80.73,69,100,4.45,-16.7,-151.0167,few clouds
Oktyabrskiy,RU,56.43,50,100,15.93,54.4815,53.471,few clouds
Trelleborg,SE,48.2,57,0,6.91,55.3751,13.1569,few clouds
Dalvik,IS,35.6,69,75,14.97,65.9702,-18.5286,few clouds
Hobyo,SO,85.14,64,100,13.09,5.3505,48.5268,few clouds
Comodoro Rivadavia,AR,66.2,30,0,14.97,-45.8667,-67.5,few clouds
Hisua,IN,87.8,42,0,4.61,24.8333,85.4167,few clouds
Oistins,BB,84.2,54,20,18.41,13.0667,-59.5333,few clouds
Jacmel,HT,83.05,64,24,7.05,18.2342,-72.5347,few clouds
Dordrecht,NL,48.0,75,7,3.0,51.81,4.6736,few clouds
Ylojarvi,FI,39.2,45,0,5.75,61.5563,23.5961,few clouds
Iqaluit,CA,39.2,70,90,18.41,63.7506,-68.5145,few clouds
Salto Del Guaira,PY,81.99,37,84,4.03,-24.0625,-54.3069,few clouds
Namtsy,RU,35.6,75,40,2.24,62.7161,129.6658,few clouds
Bardiyah,LY,78.75,37,0,5.86,31.7561,25.0865,few clouds
Ayr,GB,50.0,71,20,10.36,55.4627,-4.6339,few clouds
Chimoio,MZ,64.4,100,75,20.71,-19.1164,33.4833,few clouds
Vengerovo,RU,36.43,74,57,6.64,55.6848,76.7471,few clouds
Vallenar,CL,77.23,24,99,8.08,-28.5708,-70.7581,few clouds
Morehead,US,73.4,33,1,9.22,37.2711,-87.1764,few clouds
Kilindoni,TZ,80.11,82,73,9.33,-7.9139,39.6668,few clouds
Malaryta,BY,47.84,87,100,12.3,51.7905,24.074,few clouds
Camacha,PT,64.4,59,40,9.22,33.0833,-16.3333,few clouds
Salym,RU,37.44,57,92,10.22,60.0625,71.4789,few clouds
Mangalia,RO,55.4,100,100,6.91,43.8,28.5833,few clouds
Vrangel,RU,40.15,91,100,1.9,42.7297,133.0839,few clouds
Hervey Bay,AU,69.01,94,40,6.91,-25.2986,152.8535,few clouds
Gigmoto,PH,77.74,81,62,4.16,13.7796,124.39,few clouds
Fonte Boa,BR,81.37,71,40,6.22,-2.4959,-66.2662,few clouds
Bowen,AU,68.0,88,6,9.22,-20.0167,148.2333,few clouds
Isangel,VU,77.0,83,75,5.75,-19.55,169.2667,few clouds
Alekseyevsk,RU,28.27,96,100,2.62,57.8406,108.3492,few clouds
San Isidro,PE,71.6,73,40,6.91,-12.1167,-77.05,few clouds
Orchard Homes,US,64.4,29,90,13.8,46.8633,-114.0484,few clouds
Sumkino,RU,48.56,44,99,14.12,58.1108,68.3244,few clouds
Lawrenceburg,US,71.6,30,1,10.36,38.0373,-84.8966,few clouds
Doha,QA,82.99,78,0,4.61,25.2867,51.5333,few clouds
Halifax,CA,53.01,62,100,11.5,44.6453,-63.5724,few clouds
Poole,GB,46.0,80,51,6.73,50.7167,-2.0,few clouds
Gushikawa,JP,66.2,88,1,4.61,26.3544,127.8686,few clouds
Anloga,GH,84.2,84,20,13.8,5.7947,0.8973,few clouds
Manzhouli,CN,45.09,45,100,7.78,49.6,117.4333,few clouds
Ferme-Neuve,CA,48.2,25,100,8.05,46.7001,-75.4493,few clouds
Boa Vista,BR,87.8,58,75,13.8,2.8197,-60.6733,few clouds
The Valley,AI,86.0,69,40,14.97,18.217,-63.0578,few clouds
Newport,GB,51.01,78,92,4.74,51.5877,-2.9984,few clouds
Finnsnes,NO,30.2,86,90,3.44,69.2296,17.9811,few clouds
Kazerun,IR,71.01,33,0,1.36,29.6195,51.6541,few clouds
Kurchum,KZ,43.07,56,24,9.04,48.5722,83.6542,few clouds
Huarmey,PE,73.29,73,43,11.86,-10.0681,-78.1522,few clouds
Guane,CU,89.64,45,48,6.78,22.2025,-84.0875,few clouds
Sinnamary,GF,80.2,85,66,10.49,5.3833,-52.95,few clouds
Tual,ID,83.25,75,48,15.32,-5.6667,132.75,few clouds
Le Pont-De-Claix,FR,46.4,93,90,4.61,45.1244,5.7064,few clouds
Ayabaca,PE,57.76,80,40,5.39,-4.6398,-79.7149,few clouds
Holoby,UA,54.0,81,74,8.93,51.0865,25.0077,few clouds
Laramie,US,73.0,17,90,10.36,41.3114,-105.5911,few clouds
Farafangana,MG,75.27,91,52,9.24,-22.8167,47.8333,few clouds
Yashkino,RU,37.4,87,0,6.71,55.8736,85.4265,few clouds
Ajaigarh,IN,93.47,19,99,13.89,24.9,80.2667,few clouds
Tulum,MX,89.6,51,40,13.8,20.2167,-87.4667,few clouds
Verkhnevilyuysk,RU,33.49,99,100,4.94,63.4453,120.3167,few clouds
Areosa,PT,57.99,67,20,13.8,41.7178,-8.8571,few clouds
Durham,US,72.0,21,20,9.22,36.0335,-78.8664,few clouds
Lagoa,PT,59.49,88,100,23.11,39.05,-27.9833,few clouds
Torbay,CA,55.4,67,75,29.93,47.6666,-52.7314,few clouds
Mishelevka,RU,41.47,82,100,6.46,52.8575,103.1719,few clouds
De-Kastri,RU,32.52,98,100,9.26,51.4667,140.7833,few clouds
Sur,OM,81.91,61,5,13.42,22.5667,59.5289,few clouds
Buenos Aires,AR,78.8,64,0,4.61,-34.6132,-58.3772,few clouds
Rocha,UY,72.72,65,6,4.81,-34.4833,-54.3333,few clouds
Najran,SA,82.4,17,40,6.91,17.4924,44.1277,few clouds
Yulara,AU,55.4,47,28,5.75,-25.2406,130.9889,few clouds
Hong Gai,VN,77.0,94,0,3.44,20.956,107.0946,few clouds
Evensk,RU,19.71,84,6,8.61,61.95,159.2333,few clouds
Tecoanapa,MX,87.3,57,78,12.91,16.5167,-98.75,few clouds
Piste,MX,96.44,29,62,7.49,20.7,-88.5833,few clouds
Craig,US,80.6,13,1,14.97,40.5153,-107.5464,few clouds
Yarada,IN,81.72,83,7,11.16,17.65,83.2667,few clouds
Zhangye,CN,67.53,16,100,8.3,38.9342,100.4517,few clouds
Requena,ES,64.0,84,99,8.1,39.4883,-1.1004,few clouds
Mto Wa Mbu,TZ,69.08,81,98,0.76,-3.35,35.85,few clouds
Polson,US,64.0,31,93,3.0,47.6936,-114.1632,few clouds
Inhambane,MZ,69.8,88,40,6.91,-23.865,35.3833,few clouds
Kapitanivka,UA,58.59,76,79,8.28,48.9172,31.7167,few clouds
Prince Albert,CA,64.4,32,75,5.75,53.2001,-105.7677,few clouds
Itarema,BR,81.9,77,89,5.82,-2.9248,-39.9167,few clouds
Khilok,RU,39.43,95,100,2.04,51.3674,110.4676,few clouds
Port Hedland,AU,69.8,100,90,5.75,-20.3167,118.5667,few clouds
Cochrane,CA,53.6,50,75,9.22,51.1834,-114.4687,few clouds
Rio Gallegos,AR,46.4,66,0,2.3,-51.6226,-69.2181,few clouds
Kadoma,JP,57.0,47,36,15.23,34.7333,135.5833,few clouds
Phaltan,IN,82.0,44,71,4.47,17.9833,74.4333,few clouds
Gamboula,CF,73.51,78,100,4.92,4.1178,15.1393,few clouds
Bafia,CM,74.34,86,95,3.67,4.75,11.2333,few clouds
Kulhudhuffushi,MV,84.13,71,17,5.37,6.6221,73.07,few clouds
Adiake,CI,82.04,79,52,12.37,5.2863,-3.304,few clouds
Bassila,BJ,93.2,55,75,4.85,9.0081,1.6654,few clouds
Srednekolymsk,RU,12.38,92,6,6.02,67.45,153.6833,few clouds
Mayskiy,RU,57.2,77,0,11.18,47.6931,40.1025,few clouds
Puerto Madryn,AR,67.42,42,100,20.33,-42.7692,-65.0385,few clouds
Monte Plata,DO,87.8,62,20,11.5,18.807,-69.784,few clouds
Anadyr,RU,12.2,85,40,6.71,64.75,177.4833,few clouds
Yunhe,CN,49.59,57,32,7.9,34.0833,119.7167,few clouds
Ler,SS,82.71,52,100,3.62,8.3018,30.1418,few clouds
Bandar-E Lengeh,IR,87.8,29,75,11.5,26.5579,54.8807,few clouds
Yarmouth,US,60.8,48,1,9.22,41.7057,-70.2286,few clouds
Dudinka,RU,29.7,84,96,6.44,69.4058,86.1778,few clouds
Pisco,PE,75.2,60,0,10.36,-13.7,-76.2167,few clouds
Nouadhibou,MR,71.6,68,5,21.85,20.931,-17.0347,few clouds
Nola,IT,68.0,73,100,1.01,40.922,14.5329,few clouds
Kobryn,BY,46.33,90,100,13.62,52.2138,24.3564,few clouds
Kalmunai,LK,80.56,83,100,7.94,7.4167,81.8167,few clouds
Challapata,BO,53.22,11,26,7.38,-18.9,-66.7667,few clouds
Imbituba,BR,75.2,60,75,10.36,-28.24,-48.6703,few clouds
Buin,CL,64.4,55,75,4.61,-33.7333,-70.75,few clouds
Plettenberg Bay,ZA,57.87,74,0,4.18,-34.0527,23.3716,few clouds
Santa Lucia,ES,70.0,60,40,20.71,27.9117,-15.5407,few clouds
Kasama,ZM,62.78,93,100,3.96,-10.2129,31.1808,few clouds
Macenta,GN,76.32,75,99,2.46,8.5435,-9.471,few clouds
Weligama,LK,78.94,84,68,1.74,5.9667,80.4167,few clouds
Jacareacanga,BR,82.06,75,100,2.59,-6.2222,-57.7528,few clouds
Inirida,CO,80.4,89,80,0.78,3.8653,-67.9239,few clouds
Magadan,RU,30.22,84,94,6.38,59.5667,150.8,few clouds
San Jose,US,73.0,59,20,13.8,37.3394,-121.895,few clouds
Goya,AR,80.8,37,0,8.41,-29.14,-59.2626,few clouds
Moissala,TD,86.23,43,73,5.57,8.3404,17.7663,few clouds
College,US,35.6,48,40,4.61,64.8569,-147.8028,few clouds
Maldonado,UY,73.4,64,40,6.91,-34.6667,-54.9167,few clouds
Teruel,ES,55.4,66,0,12.66,40.6667,-0.6667,few clouds
Amalapuram,IN,79.48,87,17,2.53,16.5833,82.0167,few clouds
San Pedro,PH,82.4,69,20,4.61,14.35,121.0167,few clouds
Zhuzhou,CN,68.0,94,0,2.24,27.8333,113.15,few clouds
Zeven,DE,48.99,66,100,1.99,53.3,9.2833,few clouds
Balikpapan,ID,75.29,90,51,2.68,-1.2675,116.8289,few clouds
Severo-Yeniseyskiy,RU,30.25,94,100,9.35,60.3725,93.0408,few clouds
Obra,IN,88.52,16,97,2.73,24.4167,82.9833,few clouds
Sosnovo,RU,37.99,57,77,3.04,60.5514,30.2144,few clouds
Canico,PT,64.4,63,40,10.36,32.6333,-16.85,few clouds
Tateyama,JP,64.0,78,0,15.99,34.9833,139.8667,few clouds
Tomatlan,MX,92.08,29,0,12.12,19.9333,-105.25,few clouds
Savannah Bight,HN,89.6,58,20,9.22,16.45,-85.85,few clouds
Soyo,AO,78.06,82,100,9.19,-6.1349,12.3689,few clouds
Eureka,US,60.01,87,40,11.01,40.8021,-124.1637,few clouds
Pec,XK,68.0,52,75,4.81,42.6591,20.2883,few clouds
Champerico,GT,89.6,58,40,9.22,14.3,-91.9167,few clouds
Te Anau,NZ,39.18,87,16,0.98,-45.4167,167.7167,few clouds
Severnoye,RU,34.48,86,12,6.15,56.3491,78.3619,few clouds
Kondopoga,RU,35.6,41,6,6.71,62.2057,34.2614,few clouds
Bereda,ES,50.0,72,56,10.0,43.2686,-7.5406,few clouds
Jimo,CN,41.0,81,0,4.47,36.3897,120.4622,few clouds
Lorengau,PG,79.5,82,96,1.48,-2.0226,147.2712,few clouds
Cap Malheureux,MU,75.0,88,2,3.0,-19.9842,57.6142,few clouds
Magdalena,PH,81.0,77,7,5.01,14.1999,121.429,few clouds
Banda Aceh,ID,80.69,78,62,7.83,5.5577,95.3222,few clouds
Lichinga,MZ,60.57,96,16,5.37,-13.3128,35.2406,few clouds
Garelochhead,GB,48.99,71,69,3.44,56.082,-4.8291,few clouds
Ladario,BR,91.4,40,0,6.91,-19.0047,-57.6017,few clouds
Papetoai,PF,84.2,65,40,6.91,-17.4961,-149.8729,few clouds
Tilichiki,RU,11.3,86,28,9.62,60.4667,166.1,few clouds
Pontes E Lacerda,BR,87.8,49,35,1.99,-15.2261,-59.3353,few clouds
Greenville,US,69.8,23,1,6.91,35.6127,-77.3663,few clouds
Kasempa,ZM,66.85,83,45,4.32,-13.4584,25.8338,few clouds
Tutoia,BR,78.8,94,40,5.75,-2.7619,-42.2744,few clouds
Itoman,JP,69.8,73,75,10.36,26.1247,127.6694,few clouds
Mayen,DE,51.01,49,100,6.91,50.3333,7.2167,few clouds
Bokoro,TD,95.97,11,23,6.87,12.3807,17.0568,few clouds
Verkhnyaya Inta,RU,35.06,76,100,10.09,65.9811,60.3094,few clouds
Port Augusta,AU,52.0,81,6,5.75,-32.5,137.7667,few clouds
Hambantota,LK,78.8,100,40,3.44,6.1241,81.1185,few clouds
Arcata,US,60.01,87,90,13.8,40.8665,-124.0828,few clouds
Balaipungut,ID,75.2,94,20,1.63,1.05,101.2833,few clouds
Sergeyevka,KZ,47.8,49,46,10.29,53.88,67.4158,few clouds
Kropotkin,RU,57.0,88,1,1.97,45.4375,40.5756,few clouds
Ayan,RU,30.69,93,100,7.9,56.45,138.1667,few clouds
Charters Towers,AU,63.43,86,2,7.43,-20.1,146.2667,few clouds
Ojinaga,MX,72.0,49,1,8.05,29.5667,-104.4167,few clouds
Gambettola,IT,64.0,88,75,10.36,44.1175,12.3371,few clouds
Awjilah,LY,93.16,8,0,9.89,29.1081,21.2869,few clouds
Saravena,CO,85.84,56,72,3.91,6.9538,-71.8752,few clouds
Dubbo,AU,59.0,88,100,11.5,-32.25,148.6167,few clouds
North Platte,US,87.8,23,1,13.8,41.1239,-100.7654,few clouds
Lipari,IT,71.01,68,100,4.0,38.4674,14.954,few clouds
Falam,MM,60.51,78,3,3.49,22.9167,93.6833,few clouds
Pangnirtung,CA,44.6,57,75,9.22,66.1451,-65.7125,few clouds
Muzhi,RU,32.16,98,100,17.0,65.3667,64.6667,few clouds
Thinadhoo,MV,83.8,67,8,2.8,0.5333,72.9333,few clouds
Tandil,AR,71.01,46,83,5.99,-37.3217,-59.1332,few clouds
Isiro,CD,68.56,98,98,3.78,2.7739,27.616,few clouds
Ottawa,CA,50.0,39,90,13.8,45.4112,-75.6981,few clouds
Gamba,GA,78.04,91,100,7.14,-2.65,10.0,few clouds
Ko Samui,TH,85.19,71,25,11.72,9.5357,99.9357,few clouds
Haines Junction,CA,41.0,52,99,2.3,60.7522,-137.5108,few clouds
Banepa,NP,60.8,94,40,6.91,27.6298,85.5214,few clouds
Prainha,BR,79.61,71,100,4.29,-1.8,-53.48,few clouds
Maiduguri,NG,92.75,7,28,11.01,11.8464,13.1603,few clouds
Kupang,ID,75.51,82,21,8.12,-10.1667,123.5833,few clouds
Richards Bay,ZA,63.36,86,27,4.52,-28.783,32.0377,few clouds
Kearney,US,86.0,19,1,32.21,40.6995,-99.0815,few clouds
Umm Bab,QA,82.99,69,1,6.91,25.2142,50.8072,few clouds
Lasa,IT,55.0,100,75,10.36,46.6166,10.7002,few clouds
Lyaskelya,RU,31.26,46,27,3.02,61.7667,31.0167,few clouds
Mountain Home,US,71.6,30,40,25.32,43.133,-115.6912,few clouds
Jiwani,PK,83.03,73,1,11.65,25.05,61.7417,few clouds
Mpulungu,ZM,72.16,85,100,4.36,-8.7623,31.1141,few clouds
Naze,JP,61.05,62,0,10.02,28.3667,129.4833,few clouds
Ulladulla,AU,53.6,100,100,4.88,-35.35,150.4667,few clouds
Los Llanos De Aridane,ES,69.8,60,75,12.66,28.6585,-17.9182,few clouds
Saint-Georges,GD,86.0,66,20,25.32,12.0564,-61.7485,few clouds
Bonfim,BR,88.18,53,93,2.91,3.0833,-59.95,few clouds
Betong,TH,73.27,97,100,2.15,5.7743,101.0723,few clouds
La Ligua,CL,66.2,55,0,10.36,-32.4524,-71.2311,few clouds
Lere,NG,86.72,15,95,4.43,10.387,8.5726,few clouds
Andra,RU,44.65,90,100,15.21,62.5147,65.8878,few clouds
Naryan-Mar,RU,32.72,98,100,9.66,67.6713,53.087,few clouds
Colares,PT,57.99,58,20,13.8,38.7992,-9.4469,few clouds
Suamico,US,73.4,35,1,18.41,44.6319,-88.0393,few clouds
Roald,NO,41.0,65,20,17.27,62.5833,6.1333,few clouds
Verkhoyansk,RU,29.17,80,100,0.51,67.5447,133.385,few clouds
Bangkalan,ID,82.4,83,20,6.91,-7.0455,112.7351,few clouds
Ust-Nera,RU,26.83,97,99,2.17,64.5667,143.2,few clouds
Thohoyandou,ZA,62.2,67,93,10.38,-22.9456,30.485,few clouds
Geraldton,AU,55.4,58,100,9.22,-28.7667,114.6,few clouds
Ankara,TR,68.0,48,0,3.87,39.9199,32.8543,few clouds
Dhidhdhoo,MV,84.54,71,19,5.75,6.8833,73.1,few clouds
Honningsvag,NO,33.85,72,100,20.51,70.9821,25.9704,few clouds
Lata,PT,62.01,55,72,5.01,40.1629,-8.3327,few clouds
Sao Gabriel Da Cachoeira,BR,86.0,62,75,2.3,-0.1303,-67.0892,few clouds
Ipixuna,BR,84.2,79,75,9.22,-1.7625,-48.8043,few clouds
Birao,CF,87.87,28,29,5.39,10.2849,22.7882,few clouds
Mayumba,GA,78.42,90,100,7.2,-3.432,10.6554,few clouds
Flinders,AU,57.0,90,100,1.99,-34.5833,150.8552,few clouds
Karakol,KG,47.8,67,100,5.08,42.4907,78.3936,few clouds
Orsha,BY,45.37,67,100,1.66,54.5153,30.4053,few clouds
Brae,GB,41.0,81,90,8.05,60.3964,-1.353,few clouds
Talara,PE,86.0,51,75,14.97,-4.5772,-81.2719,few clouds
Marienburg,PL,48.99,100,100,6.42,54.0359,19.0266,few clouds
